DOCKET,USDOT,LEGALNAME,DBANAME,ADDRESS,CITY,STATE,ZIP
MC045910,61838,"HILTZ MOVING & STORAGE, INC.",,23 KONDELIN ROAD,GLOUCESTER,MA,1930
MC151159,192491,E R E  TRANSPORT  LTD,,6431 HUMMINGBIRD LANE,LAS VEGAS,NV,89103
MC157065,545870,"PAUL K. BLYE, JR.",B&B TRANSPORT,2000 S. APACHE RD. LOT 58,BUCKEYE,AZ,85326
MC176961,256377,"MOTOR VEHICLE ENTERPRISES, LTD.",,3071 HURON AVENUE,OLDSMAR,FL,34677
MC184325,286878,GENE MYERS,,202 PR 1117,STEPHENVILLE,TX,76401
MC199939,459066,"METROLINA COURIER, INC.",,500 E. LONG AVENUE,GASTONIA,NC,28053
MC566234,1103020,RONALD BUMPUS,BUMPUS ENTERPRISES,2414 STONES THROW DR,MURFREESBORO,TN,37129
MC566420,1511578,ARNULFO LUNA,,850 WENDY DR,GRAND PRAIRIE,TX,75052
MC045910,61838,"HILTZ MOVING & STORAGE, INC.",,23 KONDELIN ROAD,GLOUCESTER,MA,1930
MC151159,192491,E R E  TRANSPORT  LTD,,6431 HUMMINGBIRD LANE,LAS VEGAS,NV,89103
MC157065,545870,"PAUL K. BLYE, JR.",B&B TRANSPORT,2000 S. APACHE RD. LOT 58,BUCKEYE,AZ,85326
MC176961,256377,"MOTOR VEHICLE ENTERPRISES, LTD.",,3071 HURON AVENUE,OLDSMAR,FL,34677
MC184325,286878,GENE MYERS,,202 PR 1117,STEPHENVILLE,TX,76401
MC199939,459066,"METROLINA COURIER, INC.",,500 E. LONG AVENUE,GASTONIA,NC,28053
MC566234,1103020,RONALD BUMPUS,BUMPUS ENTERPRISES,2414 STONES THROW DR,MURFREESBORO,TN,37129
MC566420,1511578,ARNULFO LUNA,,850 WENDY DR,GRAND PRAIRIE,TX,75052
MC045910,61838,"HILTZ MOVING & STORAGE, INC.",,23 KONDELIN ROAD,GLOUCESTER,MA,1930
MC151159,192491,E R E  TRANSPORT  LTD,,6431 HUMMINGBIRD LANE,LAS VEGAS,NV,89103
MC157065,545870,"PAUL K. BLYE, JR.",B&B TRANSPORT,2000 S. APACHE RD. LOT 58,BUCKEYE,AZ,85326
MC176961,256377,"MOTOR VEHICLE ENTERPRISES, LTD.",,3071 HURON AVENUE,OLDSMAR,FL,34677
MC184325,286878,GENE MYERS,,202 PR 1117,STEPHENVILLE,TX,76401
MC199939,459066,"METROLINA COURIER, INC.",,500 E. LONG AVENUE,GASTONIA,NC,28053
MC566234,1103020,RONALD BUMPUS,BUMPUS ENTERPRISES,2414 STONES THROW DR,MURFREESBORO,TN,37129
MC566420,1511578,ARNULFO LUNA,,850 WENDY DR,GRAND PRAIRIE,TX,75052
MC045910,61838,"HILTZ MOVING & STORAGE, INC.",,23 KONDELIN ROAD,GLOUCESTER,MA,1930
MC151159,192491,E R E  TRANSPORT  LTD,,6431 HUMMINGBIRD LANE,LAS VEGAS,NV,89103
MC157065,545870,"PAUL K. BLYE, JR.",B&B TRANSPORT,2000 S. APACHE RD. LOT 58,BUCKEYE,AZ,85326
